Individual	petiole_length	Area	Perimeter	Major	Minor	Circ.	AR	leaves_lustrous	drys_dark	Leaf_margin	mean_peduncle	mean_cyme	length_difference	State	County
ELS077	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	New Hampshire	Merrimack
ELS078	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	New Hampshire	Merrimack
ELS080	NA	NA	NA	NA	NA	NA	NA	0	0	2	20	16.6	3.4	New Hampshire	Coos
ELS199	NA	NA	NA	NA	NA	NA	NA	0	0	0	35	18.5	16.5	Florida	Franklin
ELS202	NA	NA	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	Florida	Franklin
ELS226	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	Florida	Alachua
ELS228	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	Florida	Alachua
ELS251(2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	Florida	Alachua
ELS269	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	South Carolina	Colleton
ELS270	NA	NA	NA	NA	NA	NA	NA	0	0	0	21	12	9	South Carolina	Colleton
ELS298	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	North Carolina	Transylvania
ELS301	NA	NA	NA	NA	NA	NA	NA	0	0	1	12	17.5	-5.5	North Carolina	Transylvania
ELS312	NA	NA	NA	NA	NA	NA	NA	0	0	1	11.25	22.4	-11.15	North Carolina	Haywood
ELS315	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	North Carolina	Transylvania
ELS318	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	North Carolina	Richmond
ELS321(2)	NA	NA	NA	NA	NA	NA	NA	0	0	0	14	11.5	2.5	North Carolina	Richmond
ELS323(2)	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	North Carolina	Richmond
ELS327	NA	NA	NA	NA	NA	NA	NA	0	1	0	30	25.5	4.5	North Carolina	Moore
ELS340(2)	NA	NA	NA	NA	NA	NA	NA	0	0	2	23	24.5	-1.5	North Carolina	Burke
ELS385	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA	Maine	Hancock
ELS406	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	New Hampshire	Coos
ELS532	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	Massachusetts	Barnstable
ELS029	NA	NA	NA	NA	NA	NA	NA	0	1	0	50	19.5	30.5	South Carolina	Colleton
ELS652	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	Georgia	Bulloch
ELS661(V2)	NA	NA	NA	NA	NA	NA	NA	0	0	0	15.5	17.6	-2.1	Georgia	Coffee
ELS662	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	Georgia	Tift
ELS676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Georgia	Colquitt
