Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
47;F207;Mahasarika;adult;F;arnholdi;7;arno;20,2;#NV;34,1;19,3;21,4;6,7;10,5;39,1;21,5;9,6;80;130;#NV;HT;NA;NA;NA;NA;NA;-12.525606;49.176893;NA;NA;NA;NA
48;F189;Mahasarika;adult;F;arnholdi;7;arno;20,6;#NV;33,9;21;21,5;7,5;8,1;38,6;21,6;10,3;74;129;#NV;HT;NA;NA;NA;NA;NA;-12.512724;49.189858999999998;NA;NA;NA;NA
49;M216;Mahasarika;adult;M;arnholdi;7;arno;20,8;#NV;33,9;21,1;19,5;6,6;9;38,2;20,9;8,4;83;141;#NV;HT;NA;NA;NA;NA;NA;-12.526306;49.174273999999997;NA;NA;NA;NA
50;M213;Mahasarika;adult;M;arnholdi;7;arno;20,9;#NV;35,1;20,5;20,1;7;8,7;39,2;21,6;9,1;69;137;#NV;HT;NA;NA;NA;NA;NA;-12.522899000000001;49.176969;NA;NA;NA;NA
51;F184;Mahasarika;adult;F;arnholdi;7;arno;21,1;#NV;35,4;20,5;20,6;6,5;9,2;38,6;22,9;10,4;73;133;#NV;HT;NA;NA;NA;NA;NA;-12.513068000000001;49.190694000000001;NA;NA;NA;NA
52;M206;Mahasarika;adult;M;arnholdi;7;arno;21,1;#NV;34,4;21,8;19,7;6,3;9;39,1;22,4;8,4;67;133;#NV;HT;NA;NA;NA;NA;NA;-12.524578999999999;49.176850000000002;NA;NA;NA;NA
53;F185;Mahasarika;adult;F;arnholdi;7;arno;21,2;#NV;35;20,8;21,9;6,7;9,5;38,5;22;9,4;75;120;#NV;HT;NA;NA;NA;NA;NA;-12.513363;49.185183000000002;NA;NA;NA;NA
54;M174;Mahasarika;adult;M;arnholdi;7;arno;21,3;#NV;34,9;18,6;21;5,5;8;39,6;22,9;9,4;80;133;#NV;HT;NA;NA;NA;NA;NA;-12.522411;49.171714000000001;NA;NA;NA;NA
55;M198;Mahasarika;adult;M;arnholdi;7;arno;21,7;#NV;36;19,5;20,5;6,3;10,3;38,2;22,7;10;78;140;#NV;HT;NA;NA;NA;NA;NA;-12.515995999999999;49.177635000000002;NA;NA;NA;NA
56;M202;Mahasarika;adult;M;arnholdi;7;arno;#NV;#NV;35,6;19,7;19,3;5,7;9,4;38,1;21;9,3;72;125;#NV;HT;NA;NA;NA;NA;NA;-12.515409;49.177698999999997;NA;NA;NA;NA
58;BD72_2017;Montagne_d_Ambre;adult;F;arnholdi;7;arno;19,55;12,8;34,49;#NV;21,39;7,75;7,36;37,7;20,37;#NV;76;121;40;TNR;NA;NA;NA;red head, grey-brown-red face, yellowish belly, red back, dorsal line;NA;-12.644371169999999;49.179174089999997;968;42910;AB23;RADSEQ
59;BD33_2017;Montagne_d_Ambre;adult;F;arnholdi;7;arno;20,89;12,35;33,84;19,78;22,68;6,95;8,85;#NV;20,19;#NV;67;129;40;TNR;NA;NA;NA;red head, grey-brown-red face, yellowish belly, red back, dorsal line;NA;-12.50846204;49.177438700000003;991;42898;BC14;RADSEQ
60;BC66_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;20,8;12,64;35,73;20,83;20,65;6,9;10,04;39,4;19,16;#NV;69;#NV;43;BLP;enlarged;NA;NA;Cutted tail, masked face, tip of the tail is black, grey-brown head, red face, yellowish belly, grey-silver back, dorsal stripe;well developped testis;-12.512637489999999;49.185807949999997;953;42895;AB13;NA
61;BE53_2017;Montagne_d_Ambre;adult;F;arnholdi;7;arno;#NV;12,7;34,2;20,8;20,62;6,38;7,85;37;20,93;#NV;71;135;44;ERD;NA;NA;NA;red head, red face, yellowish belly, silver-grey-brown back, dorsal stripe;NA;-12.67022884;49.191249650000003;873;42916;AC12;NA
62;BD37_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;19,53;12,13;34,73;#NV;20,72;5,1;9,7;37,63;19,36;#NV;79;139;44;BLP;enlarged;NA;NA;grey-red head, red face, yellowish belly, silver-grey-brown back, dorsal stripe;well developped testis;-12.51539505;49.192407940000002;886;42900;BD23;NA
63;BC49_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;19,67;11,13;34,32;21,37;18,01;5,35;10,49;38,02;18,58;#NV;78;136;44;BLP;enlarged;NA;NA;brown-red head, silver-brown face, yellowish belly, red back, dorsal line;well developped testis;-12.543650449999999;49.146355749999998;1225;42893;AB12;RADSEQ
64;BE50_2017;Montagne_d_Ambre;adult;F;arnholdi;7;arno;#NV;11,65;32,92;20,24;21,52;7,15;7,1;38,95;19,03;#NV;74;138;45;ERD;NA;NA;NA;red head, red face, yellowish belly, silver-grey-brown back, dorsal stripe;NA;-12.67230528;49.186221850000003;873;42916;BC13;NA
65;BE47_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;18,78;12,26;34,8;20,85;22,73;7,31;#NV;38,15;21,15;#NV;75;137;48;TNR;enlarged;NA;NA;red head, red face, yellowish belly, silver-grey-brown back, dorsal stripe;well developped testis;-12.671551920000001;49.187641319999997;873;42916;AB12;NA
66;BC71_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;20,98;12,79;34,85;20,91;21,73;6,21;7,34;37,17;17,61;#NV;57;121;48;BLP;enlarged;NA;NA;brown-red head, red face, yellowish belly, silver-grey-brown back, dorsal stripe;well developped testis;-12.508938219999999;49.1935255;886;42896;AC13;NA
67;BC72_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;18,54;12,45;35,19;20,32;20,75;5,93;#NV;38,07;20,65;#NV;65;139;50;BLP;enlarged;NA;NA;grey-brown-red head, red face, yellowish belly, grey-brown back, dorsal stripe;well developped testis;-12.50911022;49.193653159999997;886;42896;AC12;NA
68;BC75_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;20,8;12,13;#NV;20,45;20,86;7,61;7,51;40,01;20,74;#NV;66;127;51;BLP;enlarged;NA;NA;ear parasites, masked face, tip of the tail is black, grey-brown-red head, red face, yellowish belly, silver-grey-brown back, dorsal stripe;well developped testis;-12.509923179999999;49.192932560000003;886;42896;AB14;NA
69;BE43_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;18,75;12,59;34,3;19,75;22,3;7,89;#NV;39,99;21,49;#NV;94;125;55;TNR;enlarged;NA;NA;red head, red face, yellowish belly, silver-grey-brown back, dorsal stripe;well developped testis;-12.66798953;49.18251076;1002;42915;BC13;NA
70;BE51_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;18,93;13,99;36,62;21,95;23,07;7,36;7,92;38;21,59;#NV;75;142;64;TNR;enlarged;NA;NA;grey-brown head, grey-brown face, yellowish belly, brown-red back, dorsal line;well developped testis;-12.672335540000001;49.186130060000004;873;42916;BC12;RADSEQ
