Species	Name	R11	G11	B11	R12	G12	B12	R13	G13	B13	R14	G14	B14	R15	G15	B15	R16	G16	B16
9334	p	164.31	81.35	3.58	183.4	122.52	14.95	196.77	135.27	17.82	103.37	46.07	18.14	102.83	81.36	60.07	78.03	63.8	48.22
9335	p	177.64	83.46	4.68	197.06	115.06	2.87	199.49	123.49	14.44	119.78	50.33	19.71	99.47	80.75	63.69	81.29	68.09	54.58
9336	p	165.61	71.17	7.29	198.66	118.5	14.34	208.7	129.81	19.69	104.9	47.86	21.87	113.28	86.76	63.8	96.16	74.63	55.45
9337	p	188.96	114.48	23.49	205.48	135.26	31.54	210.93	149.1	35.47	109.73	51.8	19.16	112.09	92.61	72.58	87.9	73.44	57.1
9345	p	147.89	57.71	7.81	171.73	83.9	2.14	193.92	118.77	16.74	68.9	29.99	16.83	83.69	65.96	50.41	64.65	53.66	42.23
9346	p	160.07	65.7	5.21	190.01	107.56	13.12	203.54	132.84	34.79	97.85	38.86	18.08	99.91	83.7	68.33	81.28	69.45	65.77
9347	p	161.05	74.57	8.65	195.9	117.96	5.52	209.67	144.48	26.73	115.26	52.46	18.61	109.56	88.47	68.37	84.02	69.6	54.85
8393	sb	122.22	45.09	13.36	183.63	91.09	0.79	185.76	117.51	5.49	139.79	75.86	13.4	150.56	125.26	90.97	121.33	92.9	61.82
8394	sb	122.01	46.05	12.44	165.91	95.41	6.99	162.17	108.3	26.45	121.27	68.87	14.37	126.28	94.04	62.26	104.43	74.85	47.64
9204	sb	143.49	61.32	15.65	195.13	111.64	14.03	195.56	117.94	15.32	149.88	71	14.12	164.45	107.72	60.18	132.93	84.25	48.17
9206	sb	132.14	57.77	17.65	204.04	110.07	2.91	206.18	114.73	2.36	134.94	60.48	11.08	161.48	107.33	54.23	113.25	71.74	38.18
9208	sb	127.02	48.16	11.07	197.43	96.75	0.99	200.1	112.8	6.76	141.48	65.79	13.65	148.66	98.65	57.95	114.83	73.22	42.88
9209	sb	118.53	48.17	22.58	187.36	101.62	8.25	186.95	113.4	19.25	151.56	88.41	39.37	131.39	87.14	54.92	96.81	62.71	41.38
9211	sb	192.66	109.36	23.14	233.63	171.86	58.66	234.75	178.7	73.5	202.17	141.43	63.3	202.73	157.28	102.15	162.21	119.1	76.62
9212	sb	185.18	105.79	34.28	225.85	166.77	73.25	232.79	186.49	108.16	189.73	126.29	61.88	198.98	157.31	107.85	160	118.99	76.92
